id_pregunta,tema,pregunta,por_que_importa,documentos_a_llevar,riesgo_si_se_hace_mal,prioridad,ids_revision_soporte
P01,Alquiler por habitaciones,¿Debo declarar cada habitación como arrendamiento separado cuando hay contratos o casuísticas distintas?,"Afecta a cómo declaras ingresos, reducción y trazabilidad por habitación.",Contrato por habitación | Justificantes bancarios | Control de ocupación,Alto,Alta,RG-013 | RG-017 | RG-018 | RG-019 | RG-020 | RG-023 | RG-029 | RG-031 | RG-033 | RG-034 | RG-037 | RG-060 | RG-067 | RG-079
P02,Gastos deducibles,¿Qué criterio práctico debo usar para decidir si un gasto es realmente deducible en mi caso?,"Si metes gastos no defendibles, puedes tener ajustes o sanciones.",Relación anual de gastos | Facturas | Justificantes bancarios,Alto,Alta,RG-001 | RG-002 | RG-005 | RG-008 | RG-009 | RG-011 | RG-022 | RG-025 | RG-036 | RG-038 | RG-039 | RG-042 | RG-043 | RG-045 | RG-051 | RG-058 | RG-059 | RG-061 | RG-063 | RG-065 | RG-066 | RG-072 | RG-077 | RG-080
P03,Suministros / comunidad / IBI / seguros,¿Cómo debo declarar los suministros repercutidos cuando varias habitaciones comparten piso?,Es una zona típica de error en alquiler por habitaciones.,Contrato | Facturas de suministros | Cobros del inquilino | Criterio de reparto,Alto,Alta,RG-006
P04,Reparación vs mejora,¿Esta actuación concreta es reparación deducible o mejora amortizable?,La diferencia cambia por completo el tratamiento en renta.,Factura detallada | Presupuesto | Fotos antes/después | Desglose de obra,Alto,Alta,RG-035 | RG-040 | RG-041 | RG-052
P05,Amortización,¿Cómo calculo correctamente la amortización del inmueble y del mobiliario en mi caso?,Una amortización mal calculada puede hacerte perder deducción o generar riesgo con Hacienda.,Escritura/compra | IBI con valores | Facturas mobiliario,Alto,Alta,RG-012
P06,Intereses hipotecarios,¿Qué parte exacta de la cuota hipotecaria y de los seguros vinculados puedo deducir?,"Hay que distinguir intereses, principal y seguros bonificados o exigidos.",Justificantes de intereses hipotecarios | Escritura préstamo | Oferta vinculante/FEIN,Alto,Alta,RG-046
P07,Reducción vivienda habitual,¿Puedo aplicar reducción por vivienda habitual en todas las habitaciones o solo en algunas?,Aplicarla mal es un riesgo alto y depende del uso real.,Contratos | Prueba de residencia | Histórico de inquilinos,Alto,Alta,RG-018
P08,Riesgo Hacienda,"¿Qué prueba concreta exige Hacienda para aceptar impagos, saldos dudoso cobro o gastos discutibles?","Si la prueba falla, el ajuste suele ser duro.",Reclamaciones | Correos/burofax | Facturas | Extractos,Alto,Alta,RG-003 | RG-019 | RG-080
P09,Persona física vs sociedad,¿Tiene sentido seguir como persona física o solo me complica pensar en sociedad?,Cambiar estructura sin números reales puede empeorar fiscalidad y operativa.,Borrador renta | Escenario de tributación | Flujo de caja anual,Alto,Alta,
P10,Prueba documental,¿Qué documentación mínima debo llevar bien preparada para defender la renta si hay comprobación?,Una buena carpeta documental reduce mucho el riesgo probatorio.,Contratos | Facturas | Justificantes bancarios | IBI | Comunidad | Seguros,Medio,Media,RG-075
